t_s,voltage
0.594,3.514
1.552,3.534
2.531,3.534
3.526,3.534
4.534,3.519
5.554,3.524
6.574,3.514
7.594,3.514
8.622,3.514
9.605,3.529
10.588,3.534
11.583,3.519
12.583,3.539
13.586,3.514
14.594,3.539
15.589,3.529
16.580,3.534
17.563,3.514
18.493,3.514
19.419,3.529
20.369,3.534
21.319,3.534
22.257,3.534
23.166,3.534
24.109,3.534
25.083,3.534
26.058,3.529
27.017,3.519
27.955,3.524
28.905,3.524
29.876,3.539
30.822,3.529
31.739,3.529
32.665,3.529
33.603,3.519
34.553,3.519
35.470,3.539
36.384,3.534
37.318,3.534
38.256,3.539
39.161,3.519
40.074,3.514
40.992,3.524
41.905,3.519
42.798,3.519
43.708,3.514
44.633,3.534
45.559,3.539
46.460,3.519
47.377,3.519
48.324,3.534
49.270,3.524
50.216,3.514
51.125,3.519
52.063,3.514
53.022,3.534
53.976,3.534
54.881,3.529
55.803,3.519
56.757,3.519
57.723,3.529
58.698,3.539
59.677,3.524
