t_s,voltage
0.881,3.539
1.549,3.524
2.208,3.539
2.888,3.548
3.564,3.529
4.273,3.543
4.965,3.539
5.686,3.539
6.398,3.529
7.119,3.524
7.864,3.548
8.602,3.539
9.372,3.543
10.158,3.529
10.949,3.539
11.723,3.529
12.464,3.539
13.205,3.529
13.943,3.548
14.684,3.543
15.385,3.543
16.081,3.529
16.781,3.534
17.486,3.534
18.203,3.534
18.891,3.534
19.599,3.539
20.341,3.524
21.078,3.548
21.803,3.539
22.540,3.524
23.302,3.543
24.101,3.529
24.936,3.543
25.788,3.548
26.665,3.539
27.537,3.529
28.381,3.529
29.216,3.543
30.040,3.534
30.830,3.534
31.571,3.529
32.309,3.543
33.054,3.524
33.791,3.539
34.475,3.534
35.168,3.539
35.860,3.548
36.605,3.534
37.388,3.548
38.194,3.534
39.009,3.524
39.792,3.539
40.529,3.529
41.266,3.539
41.987,3.539
42.724,3.543
43.478,3.539
44.240,3.543
44.990,3.543
45.747,3.548
46.509,3.543
47.254,3.548
47.963,3.543
48.639,3.524
49.356,3.548
50.032,3.524
50.699,3.543
51.412,3.534
52.133,3.543
52.850,3.548
53.574,3.519
54.308,3.534
55.033,3.534
55.758,3.539
56.482,3.539
57.204,3.539
57.916,3.543
58.649,3.548
59.395,3.543
