t_s,voltage
0.720,3.548
1.281,3.553
1.850,3.534
2.416,3.553
2.981,3.553
3.546,3.553
4.115,3.558
4.697,3.558
5.283,3.539
5.860,3.558
6.450,3.534
7.048,3.553
7.654,3.553
8.256,3.548
8.871,3.553
9.493,3.548
10.116,3.534
10.734,3.558
11.349,3.558
11.967,3.558
12.569,3.558
13.171,3.558
13.774,3.553
14.367,3.534
14.957,3.539
15.551,3.553
16.149,3.539
16.755,3.553
17.370,3.558
18.004,3.553
18.648,3.539
19.295,3.553
19.946,3.539
20.614,3.548
21.269,3.539
21.920,3.548
22.571,3.543
23.219,3.553
23.849,3.529
24.468,3.543
25.086,3.558
25.705,3.558
26.315,3.553
26.929,3.534
27.552,3.548
28.191,3.534
28.846,3.548
29.510,3.548
30.186,3.534
30.865,3.534
31.525,3.553
32.184,3.543
32.840,3.553
33.491,3.553
34.134,3.558
34.761,3.558
35.383,3.534
36.006,3.548
36.624,3.553
37.239,3.558
37.865,3.534
38.496,3.539
39.147,3.558
39.794,3.548
40.438,3.539
41.093,3.548
41.748,3.558
42.391,3.553
43.026,3.534
43.657,3.558
44.280,3.534
44.894,3.548
45.496,3.548
46.090,3.553
46.692,3.553
47.298,3.553
47.917,3.553
48.531,3.548
49.162,3.553
49.809,3.553
50.476,3.553
51.140,3.553
51.824,3.539
52.520,3.558
53.209,3.548
53.872,3.548
54.536,3.553
55.183,3.553
55.822,3.543
56.448,3.543
57.055,3.558
57.661,3.534
58.271,3.548
58.885,3.553
59.500,3.529
