t_s,voltage
0.421,3.763
1.051,3.773
1.686,3.759
2.325,3.768
2.968,3.768
3.607,3.763
4.242,3.759
4.893,3.768
5.565,3.763
6.262,3.773
6.937,3.768
7.658,3.759
8.400,3.773
9.161,3.768
9.878,3.763
10.607,3.768
11.328,3.759
12.053,3.768
12.737,3.768
13.396,3.773
14.072,3.759
14.756,3.749
15.461,3.768
16.165,3.759
16.853,3.763
17.578,3.763
18.311,3.759
19.049,3.754
19.769,3.759
20.535,3.759
21.305,3.768
22.063,3.768
22.780,3.754
23.533,3.768
24.299,3.759
25.078,3.754
25.831,3.768
26.630,3.773
27.416,3.768
28.170,3.749
28.891,3.759
29.599,3.768
30.292,3.763
31.033,3.759
31.803,3.763
32.561,3.759
33.327,3.759
34.088,3.759
34.809,3.759
35.583,3.763
36.337,3.759
37.083,3.763
37.803,3.759
38.569,3.763
39.302,3.759
40.015,3.763
40.744,3.754
41.477,3.754
42.247,3.749
43.034,3.759
43.820,3.773
44.639,3.759
45.458,3.768
46.273,3.759
47.084,3.754
47.916,3.754
48.760,3.754
49.558,3.754
50.386,3.759
51.188,3.754
52.000,3.768
52.835,3.773
53.683,3.768
54.486,3.768
55.338,3.768
56.198,3.754
56.992,3.754
57.803,3.754
58.606,3.754
59.351,3.773
