t_s,voltage
0.375,3.763
0.842,3.773
1.305,3.778
1.780,3.778
2.251,3.768
2.718,3.763
3.181,3.778
3.648,3.773
4.123,3.768
4.590,3.763
5.057,3.773
5.528,3.763
6.007,3.768
6.478,3.773
6.949,3.763
7.438,3.763
7.928,3.763
8.411,3.763
8.895,3.778
9.386,3.773
9.870,3.773
10.341,3.759
10.807,3.768
11.278,3.763
11.758,3.778
12.229,3.778
12.692,3.773
13.167,3.773
13.654,3.768
14.125,3.778
14.600,3.763
15.084,3.773
15.575,3.759
16.058,3.773
16.533,3.773
17.025,3.763
17.516,3.773
18.004,3.778
18.487,3.773
18.979,3.763
19.474,3.773
19.958,3.763
20.441,3.773
20.936,3.768
21.432,3.773
21.915,3.773
22.403,3.773
22.898,3.768
23.394,3.773
23.881,3.773
24.365,3.768
24.868,3.778
25.372,3.768
25.860,3.773
26.355,3.763
26.859,3.773
27.363,3.768
27.854,3.773
28.354,3.759
28.858,3.763
29.357,3.768
29.849,3.763
30.345,3.773
30.844,3.773
31.348,3.778
31.844,3.763
32.335,3.773
32.839,3.778
33.335,3.773
33.832,3.773
34.322,3.763
34.825,3.778
35.325,3.768
35.817,3.778
36.312,3.773
36.816,3.768
37.324,3.773
37.824,3.773
38.319,3.768
38.827,3.763
39.343,3.773
39.839,3.768
40.338,3.768
40.850,3.768
41.362,3.778
41.862,3.773
42.366,3.768
42.874,3.778
43.390,3.763
43.890,3.759
44.389,3.773
44.905,3.773
45.421,3.768
45.925,3.773
46.433,3.763
46.957,3.763
47.477,3.763
47.993,3.778
48.514,3.773
49.054,3.773
49.587,3.768
50.111,3.773
50.635,3.763
51.172,3.759
51.708,3.773
52.233,3.773
52.761,3.773
53.302,3.778
53.842,3.773
54.366,3.768
54.895,3.773
55.432,3.759
55.964,3.773
56.488,3.778
57.021,3.773
57.561,3.759
58.098,3.768
58.628,3.778
59.167,3.773
59.720,3.778
