t_s,voltage
0.836,3.763
1.561,3.768
2.286,3.768
2.991,3.778
3.724,3.778
4.481,3.768
5.251,3.788
6.018,3.768
6.849,3.768
7.701,3.773
8.524,3.773
9.388,3.778
10.257,3.768
11.072,3.768
11.911,3.783
12.759,3.763
13.562,3.768
14.377,3.773
15.225,3.773
16.048,3.773
16.904,3.768
17.781,3.778
18.634,3.768
19.497,3.768
20.377,3.773
21.213,3.773
22.057,3.763
22.896,3.783
23.699,3.773
24.543,3.778
25.403,1.755
26.226,3.783
27.082,3.783
27.963,3.783
28.802,3.773
29.683,3.778
30.568,3.778
31.407,3.763
32.268,3.783
33.132,3.768
33.943,3.778
34.799,3.778
35.671,3.773
36.503,3.778
37.371,3.768
38.248,3.783
39.067,3.783
39.915,3.778
40.762,3.773
41.561,3.768
42.388,3.778
43.232,3.768
44.027,3.763
44.834,3.783
45.632,3.778
46.427,3.778
47.201,3.763
48.024,3.773
48.876,3.773
49.683,3.768
50.523,3.773
51.383,3.783
52.210,3.773
53.021,3.768
53.844,3.778
54.660,3.773
55.421,3.778
56.191,3.778
56.974,3.778
57.789,3.778
58.583,3.778
59.476,3.778
