t_s,voltage
0.661,3.759
1.205,3.759
1.750,3.773
2.295,3.773
2.852,3.759
3.409,3.778
3.962,3.773
4.523,3.778
5.092,3.768
5.657,3.768
6.214,3.773
6.784,3.759
7.361,3.763
7.927,3.768
8.500,3.759
9.077,3.773
9.659,3.768
10.237,3.773
10.818,3.768
11.408,3.768
12.014,3.773
12.616,3.778
13.214,3.773
13.816,3.759
14.427,3.773
15.033,3.768
15.631,3.763
16.237,3.773
16.843,3.768
17.437,3.773
18.031,3.763
18.633,3.773
19.243,3.763
19.837,3.773
20.427,3.773
21.025,3.759
21.631,3.773
22.233,3.768
22.831,3.773
23.437,3.773
24.056,3.773
24.674,3.759
25.280,3.763
25.887,3.773
26.505,3.763
27.120,3.773
27.722,3.773
28.332,3.773
28.946,3.773
29.552,3.759
30.142,3.773
30.740,3.768
31.342,3.768
31.936,3.773
32.518,3.773
33.104,3.773
33.697,3.759
34.291,3.773
34.869,3.773
35.459,3.773
36.065,3.773
36.679,3.768
37.277,3.763
37.887,3.773
38.510,3.759
39.129,3.773
39.739,3.768
40.349,3.759
40.968,3.773
41.578,3.763
42.172,3.773
42.778,3.763
43.380,3.763
43.966,3.773
44.555,3.773
45.154,3.768
45.751,3.773
46.337,3.768
46.931,3.773
47.537,3.768
48.147,3.773
48.754,3.763
49.376,3.768
50.011,3.773
50.625,3.759
51.244,3.773
51.871,3.773
52.485,3.768
53.095,3.773
53.706,3.768
54.320,3.773
54.926,3.768
55.520,3.768
56.118,3.768
56.724,3.773
57.314,3.773
57.900,3.763
58.494,3.773
59.100,3.759
59.694,3.773
