t_s,voltage
0.594,3.553
1.156,3.568
1.766,3.558
2.360,3.558
2.958,3.558
3.572,3.563
4.178,3.568
4.785,3.573
5.395,3.568
6.022,3.568
6.632,3.563
7.222,3.568
7.799,3.568
8.364,3.548
8.946,3.568
9.552,3.568
10.175,3.553
10.818,3.553
11.428,3.573
12.038,3.553
12.649,3.568
13.251,3.568
13.853,3.568
14.459,3.563
15.069,3.568
15.684,3.548
16.298,3.548
16.921,3.558
17.543,3.573
18.182,3.573
18.825,3.568
19.493,3.563
20.160,3.563
20.836,3.553
21.520,3.568
22.192,3.558
22.839,3.573
23.494,3.573
24.146,3.568
24.789,3.553
25.416,3.553
26.054,3.558
26.698,3.568
27.345,3.563
27.996,3.558
28.639,3.548
29.286,3.558
29.933,3.558
30.576,3.573
31.215,3.558
31.842,3.573
32.469,3.558
33.079,3.563
33.677,3.548
34.271,3.558
34.885,3.568
35.483,3.563
36.085,3.548
36.700,3.568
37.322,3.568
37.949,3.548
38.567,3.563
39.170,3.558
39.768,3.568
40.374,3.553
40.980,3.563
41.582,3.563
42.184,3.568
42.790,3.553
43.400,3.568
44.011,3.573
44.609,3.568
45.211,3.553
45.821,3.548
46.432,3.568
47.042,3.553
47.648,3.548
48.279,3.553
48.922,3.558
49.589,3.553
50.245,3.568
50.904,3.553
51.563,3.553
52.227,3.548
52.870,3.568
53.493,3.563
54.115,3.568
54.734,3.548
55.340,3.568
55.934,3.548
56.532,3.568
57.142,3.573
57.757,3.558
58.383,3.553
59.022,3.573
59.673,3.568
